refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),color_text,eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,134,361,2,0,3,1.0,133.0,0.0,0.4154056,1.0,0.0018470372098763372
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,135,361,2,0,3,1.0,134.0,0.0,0.6677385,1.0,0.0018108382363181948
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,136,361,1,0,3,1.0,135.0,0.0,0.4267293,1.0,0.004682600487639664
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,137,361,2,1,3,1.0,136.0,1.0,0.3535898,1.0,0.0017753487047137172
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,138,361,2,1,3,1.0,137.0,1.0,0.2903084,1.0,0.0017405547111359067
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,139,361,1,1,3,1.0,138.0,1.0,0.3615337,1.0,0.00459082901149991
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,140,361,1,1,3,1.0,139.0,1.0,0.3502031,1.0,0.004500856109433489
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,141,361,2,1,3,1.0,140.0,1.0,0.3415192,1.0,0.0017064426241524917
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,142,361,2,1,3,1.0,141.0,1.0,0.2559376,1.0,0.0016729990794854522
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,143,361,1,0,3,1.0,142.0,0.0,0.3665558,1.0,0.004412646532266771
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,144,361,2,0,3,1.0,143.0,1.0,0.2539211,0.0,0.0016402109747752378
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,145,361,2,1,3,1.0,144.0,1.0,0.377825,1.0,0.0018108382363181948
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,146,361,2,0,3,1.0,145.0,1.0,0.2921807,0.0,0.0017753487047137172
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,147,361,2,1,3,1.0,146.0,1.0,0.3599966,1.0,0.0018839598072570712
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,148,361,1,1,3,1.0,147.0,1.0,0.3027362,1.0,0.004412646532266771
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,149,361,1,1,3,1.0,148.0,1.0,0.2742958,1.0,0.004326165721653518
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,150,361,1,0,3,1.0,149.0,0.0,0.3732446,1.0,0.004241379796535765
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,151,361,2,1,3,1.0,150.0,1.0,0.3161246,1.0,0.0018470372098763372
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,152,361,1,1,3,1.0,151.0,1.0,0.3709303,1.0,0.004076760385613912
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,153,361,1,0,3,1.0,152.0,0.0,0.4534655,1.0,0.003841733375705851
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,154,361,2,0,3,1.0,153.0,1.0,0.3398681,0.0,0.0018470372098763372
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,155,361,1,1,3,1.0,154.0,0.0,0.6351636,0.0,0.0036926253222973665
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,156,361,2,0,3,1.0,155.0,1.0,0.2578774,0.0,0.0019216204938273754
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,157,361,2,0,3,1.0,156.0,1.0,0.453102,0.0,0.002079943682327365
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,158,361,1,1,3,1.0,157.0,1.0,0.3566057,1.0,0.004326165721653518
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,159,361,2,1,3,1.0,158.0,1.0,0.4196069,1.0,0.002251311190503024
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,160,361,1,0,3,1.0,159.0,1.0,0.4029361,0.0,0.004241379796535765
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,161,90,1,0,1,1.0,160.0,0.0,1.0708934,1.0,0.06016856135202387
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,162,90,2,1,1,1.0,161.0,0.0,0.3732161,0.0,0.06016856135202387
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,163,90,1,1,1,1.0,162.0,1.0,0.3960429,1.0,0.02950625151774548
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,164,90,1,1,1,1.0,163.0,0.0,0.3643749,0.0,0.01566182643816842
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,165,90,2,1,1,1.0,164.0,1.0,0.35575,1.0,0.18228250393864812
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,166,90,2,0,1,1.0,165.0,0.0,0.5100416,1.0,0.14954954646180463
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,167,90,1,1,1,1.0,166.0,0.0,0.4042811,0.0,0.06642775423169728
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,168,90,1,1,1,1.0,167.0,1.0,0.3528259,1.0,0.18228250393864812
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,169,90,2,0,1,1.0,168.0,1.0,0.5035027,0.0,0.12028991731550513
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,170,90,1,0,1,1.0,169.0,0.0,0.4386905,1.0,0.14661861467057924
